X,Y,FID,GCOMPID,NAME,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIP4,TYPE,STATUS,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,PIPECO,COMPID,OPERATOR,POSREL,NUM_UNITS,CERT_HP,PLANT_COST,EXP_FUEL,EXP_OTHER,GAS_COMPRE,OP_COMP_HR,OP_NUM_COM,OP_DATE_PE,EXP_POWER,ELEC_COMPR
-10886827.24,5632196.743,232,GCOMP1206,#10 - CLARK COUNTY,NW CORNER OF 421ST AVE AND 160TH ST,SOUTH OF CROCKER,BRADLEY,SD,57217,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,CLARK,46025,USA,45.06776962,-97.79803309,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",9/15/2015 0:00,IMAGERY/OTHER,3/14/2016 0:00,http://www.northernborder.com/,NORTHERN BORDER PIPELINE COMPANY,89,NORTHERN BORDER PIPELINE COMPANY,WITHIN 40 FEET,1,38000,31514772,5455569,215601,1898245,8705,1,1/29/2012 0:00,0,0
-8864115.908,4909588.464,233,GCOMP1207,LINCOLN HEIGHTS,NW OF BEAVER ROAD/ 0.5 MILES NE OF LASKOSKI RD,NOT AVAILABLE,JEANNETTE,PA,15644,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,WESTMORELAND,42129,USA,40.29969,-79.627708,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"FERC FORM 2, IMAGERY",9/24/2015 0:00,IMAGERY/OTHER,3/14/2016 0:00,http://escript.dom.com/,"DOMINION TRANSMISSION, INC.",22,"DOMINION TRANSMISSION, INC.",WITHIN 40 FEET,2,510,631538,14556,95290,5107,7922,2,11/8/2012 0:00,0,0
-7880359.185,5333565.726,234,GCOMP1208,ELIOT,OFF DOW HWY 236/NORTH OF BEECH RD,NOT AVAILABLE,ELIOT,ME,3903,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,YORK,23031,USA,43.141705,-70.790471,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"FERC FORM 2, CORPORATE WEBSITE",10/6/2015 0:00,IMAGERY/OTHER,3/14/2016 0:00,http://www.spectraenergy.com/,"MARITIMES & NORTHEAST PIPELINE, L.L.C.",63,"MARITIMES & NORTHEAST PIPELINE, L.L.C.",WITHIN 40 FEET,1,8960,40905401,13817,0,3078,41,1,1/3/2012 0:00,0,0
-8955841.054,4850055.269,235,GCOMP1209,HOLBROOK,OFF HWY 21,NOT AVAILABLE,WIND RIDGE,PA,15380,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,GREENE,42059,USA,39.89058612,-80.45168901,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",9/1/2015 0:00,IMAGERY/OTHER,3/14/2016 0:00,http://www.spectraenergy.com/,"TEXAS EASTERN TRANSMISSION, LP",17,"TEXAS EASTERN TRANSMISSION, LP",WITHIN 40 FEET,15,58800,116490573,1947883,0,710840,13268,15,1/3/2012 0:00,242481,343430
-9376005.671,4792383.362,236,GCOMP121,LEBANON,1262 W ST RTE 122,NOT AVAILABLE,LEBANON,OH,45036,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,WARREN,39165,USA,39.49193045,-84.22609198,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"FERC FORM 2, IMAGERY",9/24/2015 0:00,IMAGERY/OTHER,3/14/2016 0:00,http://escript.dom.com/,"DOMINION TRANSMISSION, INC.",22,"DOMINION TRANSMISSION, INC.",WITHIN 40 FEET,6,14600,15486510,314763,1588263,119681,10342,3,2/8/2012 0:00,0,0
-10150872.87,3812267.291,237,GCOMP1210,TALLULAH,OFF HWY 602 SE OF,NOT AVAILABLE,TALLULAH,LA,70000,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,MADISON,22065,USA,32.3721989,-91.1868425,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",9/17/2015 0:00,IMAGERY/OTHER,3/14/2016 0:00,http://infopost.bwpmlp.com/,"GULF SOUTH PIPELINE COMPANY, LP",11,"GULF SOUTH PIPELINE COMPANY, LP",WITHIN 40 FEET,4,60802,97588993,6027814,696943,2154142,22194,5,10/11/2012 0:00,0,0
-12186245.74,5008011.887,238,GCOMP1211,UTAH - CLAY BASIN PARK AND LOAN,OFF JUG HOLLOW RD/ WEST OF HWY 191,NOT AVAILABLE,DUTCH JOHN,UT,84023,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,DAGGETT,49009,USA,40.970639,-109.470908,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",10/1/2015 0:00,IMAGERY/OTHER,3/14/2016 0:00,http://www.questarpipeline.com/,QUESTAR PIPELINE COMPANY,55,QUESTAR PIPELINE COMPANY,WITHIN 40 FEET,1,1680,3954703,17211,47429,5307,83,0,11/27/2012 0:00,0,0
-10360089.12,3801612.598,239,GCOMP1212,CASTOR,"OFF LITTLE HOPE RD, 8.6 MI NE",NOT AVAILABLE,CASTOR,LA,70000,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,BIENVILLE,22013,USA,32.29132495,-93.06626404,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"FERC FORM 2, IMAGERY",9/17/2015 0:00,IMAGERY/OTHER,3/14/2016 0:00,http://infopost.bwpmlp.com/,"GULF SOUTH PIPELINE COMPANY, LP",11,"GULF SOUTH PIPELINE COMPANY, LP",WITHIN 40 FEET,1,1350,3780743,39539,28521,13979,1513,1,2/25/2012 0:00,0,0
-11875947.33,6212675.567,240,GCOMP1213,#1 - VALLEY COUNTY,OFF OF BRITCH RD,NOT AVAILABLE,GLASGOW,MT,59230,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,VALLEY,30105,USA,48.63216,-106.68345,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",9/15/2015 0:00,IMAGERY/OTHER,3/14/2016 0:00,http://www.northernborder.com/,NORTHERN BORDER PIPELINE COMPANY,89,NORTHERN BORDER PIPELINE COMPANY,WITHIN 40 FEET,1,38000,36071399,3472908,159899,1213551,6456,1,3/2/2012 0:00,0,0
-8285421.535,4981650.696,241,GCOMP1214,HANOVER,OFF OF COLUMBIA TPKE,NOT AVAILABLE,MORRISTOWN,NJ,7960,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,MORRIS,34027,USA,40.791597,-74.429208,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",9/1/2015 0:00,IMAGERY/OTHER,3/14/2016 0:00,http://www.spectraenergy.com/,"TEXAS EASTERN TRANSMISSION, LP",17,"TEXAS EASTERN TRANSMISSION, LP",WITHIN 40 FEET,1,6500,18458426,261949,0,92036,4,1,4/5/2012 0:00,13561,38880
